ContactId,GroupId
18830,2964
18832,2964
18834,2964
18836,2964
18840,2964
18844,2964
18846,2964
18848,2964
18850,2964
18852,2964
18854,2964
18856,2964
18858,2964
18860,2964
18862,2964
18864,2964
18866,2964
18868,2964
18870,2964
18872,2964
18874,2964
18876,2964
18878,2964
18880,2964
18882,2964
18884,2964
18886,2964
18888,2964
18892,2964
18894,2964
18896,2964
18898,2964
18900,2964
18902,2964
18904,2964
18906,2964
18908,2964
18910,2964
18912,2964
18914,2964
18916,2964
18918,2964
18920,2964
18922,2964
18924,2980
18926,2964
18928,2964
18930,2964
18934,2964
18936,2964
18938,2964
18942,2964
18944,2964
18946,2964
18948,2964
18954,2964
18956,2964
18958,2986
18960,2964
18964,2964
18966,2964
18968,2964
18970,2840
18970,2964
18972,2964
18974,2964
18976,2964
18978,2964
18980,2964
18982,2964
18984,2964
18986,2964
18990,2964
18994,2964
18996,2964
18998,2964
19000,2964
19002,2964
19004,2964
19008,2964
19010,2964
19012,2964
19016,2964
19020,2964
19022,2964
19024,2964
19026,2988
19026,2990
19028,2988
19028,2990
19030,2964
19034,2964
19036,2964
19038,2964
19040,2964
19042,2964
19046,2964
19048,2964
19052,2964
19054,2964
19056,2964
19058,2964
19060,2964
19062,2964
19066,2964
19070,2964
19072,2964
19074,2964
19076,2964
19078,2964
19082,2964
19084,2964
19086,2964
19088,2964
19090,2964
19092,2964
19096,2964
19098,2964
19100,2964
19102,2964
19104,2964
19108,2964
19110,2964
19112,2964
19114,2964
19116,2964
19118,2964
19120,2964
19122,2964
19124,2964
19126,2964
19128,2964
19132,2964
19134,2964
19136,2964
19138,2964
19140,2964
19142,2964
19144,2840
19150,2964
19152,2964
19154,2964
19156,2964
19158,2964
19160,2964
19162,2964
19164,2964
19166,2964
19168,2964
19170,2964
19172,2964
19174,2964
19176,2964
19178,2964
19180,2964
19182,2964
19184,2964
19186,2964
19188,2964
19190,2964
19192,2964
19194,2964
19196,2964
19198,2964
19200,2964
19202,2964
19204,2964
19206,2964
19208,2964
19210,2964
19212,2964
19214,2964
19216,2964
19218,2964
19220,2964
19222,2964
19224,2964
19226,2964
19228,2964
19230,2964
19232,2964
19234,2964
19238,2964
19240,2964
19242,2964
19244,2964
19246,2964
19248,2964
19250,2964
19252,2964
19254,2964
19256,2964
19258,2964
19262,2964
19264,2964
19266,2964
19268,2964
19272,2964
19274,2964
19276,2964
19278,2964
19280,2964
19282,2994
19282,2996
19284,2964
19286,2964
19288,2964
19290,2964
19292,2964
19294,2964
19296,2964
19298,2964
19300,2964
19304,2964
19306,2964
19308,2998
19308,3000
19310,2964
19312,2964
19314,2964
19316,2964
19318,2964
19320,2964
19324,2964
19326,2964
19328,2964
19330,2964
19332,2964
19336,2964
19338,2964
19340,2964
19344,2964
19346,2964
19348,2964
19350,2964
